"","Estado","Municipio","Nome","Lat","Long","Operador","Observacao","Volume recebido(toneladas/dia)","Porte","Data Abertura","Fonte_1","Fonte_2","Fonte_3","m3_biomethane_per_ton_rsu"
"1","SP","Caieiras","Aterro Sanitário Caieiras",-23.3385130936197,-46.7720860881494,"Concessionária LOGA","possui uma usina termelétrica: Termoverde Caieiras",10625,"Grande",2002,"https://www.gov.br/mdr/pt-br/noticias/residuos-solidos-maior-aterro-sanitario-do-brasil-e-visitado-pelo-governo-federal","https://geoconceicao.blogspot.com/2012/10/aterro-anitario-em-sao-paulo.html",NA,2510471.05556482
"2","SP","Americana","Aterro Sanitário Americana",-22.6735801099544,-47.2759178016546,"UTGR Americana","O volume total é de 3,733 milhões de metros cúbicos de resíduos urbanos, com capacidade licenciada de 500 toneladas por dia.  Atualmente, o aterro de Americana, além de receber o lixo da própria cidade, que destina em média 212,5 toneladas por dia ao local, também recebe desde dezembro de 2023 os resíduos de Santa Bárbara d’Oeste, que manda em média 163,7 toneladas por dia.",376.2,NA,2017,"https://www.camara-americana.sp.gov.br/noticias/vereadores-visitam-aterro-sanitario-de-americana,13-09-2021#:~:text=A%20UTGR%20de%20Americana%20entrou,de%20500%20toneladas%20por%20dia.","https://liberal.com.br/cidades/americana/aterro-de-americana-fica-entre-os-melhores-do-estado-pelo-quinto-ano-seguido-2177092/",NA,88888.3963391517
"3","SP","Jambeiro","Aterro Sanitário Jambeiro",-23.2686117746785,-45.7459548660442,"ENGEP",NA,2000,NA,NA,"http://arquivo.ambiente.sp.gov.br/consema/2011/11/oficio_consema_2011_049/Sumula_do_Parecer_Tecnico_CETESB_%20050_11_TACR.pdf",NA,NA,472559.257518084
"4","SP","São Paulo","Centro de Disposição de Resíduos (CDR) Pedreira",-23.4127179863904,-46.5619094048758,"ECOURBIS","Usina de Biogás para produção de energia elétrica, com capacidade licenciada de 4,68 MW",6000,"Grande",37007,"https://smastr16.blob.core.windows.net/consema/2019/12/eia_rima-obras-de-ampliacao-cdr-pedreira.pdf","https://cetesb.sp.gov.br/eiarima/rima/RIMA-058-24-e-amb-4841-23-Ampl-CDR-Pedreira-SP-Capital.pdf",NA,1417677.77255425
"5","SP","São Paulo","Central de Tratamento de Resíduos Leste (CTL)",-23.621221419847,-46.4220818471578,"ECOURBIS",NA,7000,NA,40483,"https://www.ecourbis.com.br/destinacao#:~:text=Inaugurada%20em%20novembro%20de%202010,toneladas%20de%20res%C3%ADduos%20por%20dia.",NA,NA,1653957.4013133
"6","SP","Franca","Aterro Sanitário de Franca",-20.5456670745339,-47.4669497620152,"ESSE AMBIENTAL FRANCA SPE LTDA",NA,500,NA,NA,"https://franca.sp.gov.br/administracao-municipal/administracao-direta/meio-ambiente/aterro-sanitario","https://www.emdef.com.br/servicos/gerenciamento-do-aterro-sanitario","https://www.google.com/maps/search/aterro+sanit%C3%A1rio+perto+de+Franca+-+SP,+Brasil/@-20.5453654,-47.4724445,910m/data=!3m1!1e3?entry=ttu&g_ep=EgoyMDI0MDgyNy4wIKXMDSoASAFQAw%3D%3D",118139.814379521
"7","SP","Guatapará","Aterro Sanitário de Guatapará",-21.392214145598,-47.9522971815335,"ESTRE","possui usina de biogás para gerar energia elétrica",1800,NA,NA,"https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2014/08/entra-em-operacao-1-usina-do-interior-de-sp-gerar-energia-partir-do-lixo.html","https://www.camara-arq.sp.gov.br/noticias/vereadores-visitam-aterro-de-guatapara-e-defendem-fortalecimento-da-coleta-seletiva,01-11-2017",NA,425303.331766276
"8","SP","Mauá","Aterro Sanitário de Mauá",-23.6722318103128,-46.4740552618633,"Grupo Lara","Mauá tem usina de geração de energia a partir do biogás de aterro sanitário com capacidade de 5GW",3500,NA,NA,"https://ane.com.br/grupo-lara/#:~:text=Dentre%20os%20in%C3%BAmeros%20aterros%20sanit%C3%A1rios,de%20Mau%C3%A1%2C%20Ribeir%C3%A3o%20Pires%2C%20Diadema","https://ipesi.com.br/maua-tem-usina-de-geracao-de-energia-a-partir-do-biogas-de-aterro-sanitario-com-capacidade-de-5gw/",NA,826978.700656648
"9","SP","Cabreúva","Aterro Sanitário de Cabreúva",-23.3105764120763,-47.1563245656068,"Concessionária EPPO","2020 - A Urca Energia vai investir R$ 30 milhões na construção de uma usina de biogás para minigeração distribuída, em um aterro sanitário no município de Mauá, na Grande São Paulo. A usina terá capacidade de 5 MW e o potencial de produção do projeto é de 100 mil m³/dia.",30.67,NA,2004,"https://sampi.net.br/jundiai/noticias/631738/jundiai/2021/08/aterro-de-cabreuva-e-o-unico-nota-10-da-regiao","https://www.cabreuva.sp.gov.br/upload/arquivo/0637157001600959260.xls","https://www.alemdaenergia.engie.com.br/sao-paulo-ganha-nova-usina-de-biogas-para-minigeracao-distribuida/",7246.69621403982
"10","SP","Santana do Parnaiba","Aterro Sanitário de Santana do Parnaiba",-23.4140624145238,-46.9580834520922,"Tecipar Ambiental","possui usina de biogás para gerar energia elétrica",173.81,NA,NA,"https://www.santanadeparnaiba.sp.gov.br/noticias_13/materias/2024/11_6_res%C3%ADduos_s%C3%B3lidos.html","https://www.santanadeparnaiba.sp.gov.br/plano_diretor/pmsb/FMSAI/PMSB%20-%20Plano%20Municipal%20de%20Saneamento%20B%C3%A1sico/2021/CADERNO%20IV%20-%20RES%C3%8DDUOS%20S%C3%93LIDOS_com%20anexos.pdf","https://beng.eng.br/pt/projetos/item/tecipar-landfill-gas-project",41067.7622746091
