"","Nome","Lat","Long","Tipo_Localizacao","Empresa","Municipio","Estado","Fonte"
"1","Orizon - Ecoparque Paulínia",-22.7749288174028,-47.204143517832,"real","Orizon","Paulínia","SP","https://orizonvr.com.br/ecoparques/"
"2","Orizon - Ecoparque Itapevi",-23.5190125027445,-46.9753128048335,"real","Orizon","Itapevi","SP","https://orizonvr.com.br/ecoparques/"
"3","Orizon - Ecoparque Tremembé",-22.9200640097687,-45.6124611693103,"real","Orizon","Tremembé","SP","https://orizonvr.com.br/ecoparques/"
"4","Orizon - Ecoparque Barra Mansa",-22.5871234205446,-44.2145104239154,"real","Orizon","Barra Mansa","RJ","https://orizonvr.com.br/ecoparques/"
"5","Orizon - Ecoparque Nova Iguaçu",-22.6717448812473,-43.4747682453352,"real","Orizon","Nova Iguaçu","RJ","https://orizonvr.com.br/ecoparques/"
"6","Orizon - Ecoparque São Gonçalo",-22.8463109441903,-42.9990256846552,"real","Orizon","São Gonçalo","RJ","https://orizonvr.com.br/ecoparques/"
"7","Orizon - Ecoparque Itaboraí",-22.7501940999141,-42.8580332576724,"real","Orizon","Itaboraí","RJ","https://orizonvr.com.br/ecoparques/"
"8","Orizon - Ecoparque Pantanal",-15.6240046975035,-55.9341218590463,"aprox","Orizon","Cuibá","MT","https://orizonvr.com.br/ecoparques/"
"9","Orizon - Ecoparque Maceió",-9.66416327794084,-35.7280085270921,"aprox","Orizon","Maceió","AL","https://orizonvr.com.br/ecoparques/"
"10","Orizon - Ecoparque João Pessoa",-7.12727490798406,-34.8286132077571,"aprox","Orizon","João Pessoa","PB","https://orizonvr.com.br/ecoparques/"
"11","Orizon - Ecoparque Jaboatão dos Gurarapes",-8.15846981574547,-34.9228362337545,"aprox","Orizon","Recife","PE","https://orizonvr.com.br/ecoparques/"
"12","Orizon - Ecoparque Aracaju",-10.9296866165739,-37.0728664185818,"aprox","Orizon","Acaraju","SE","https://orizonvr.com.br/ecoparques/"
"13","Orizon - Ecoparque Santa Luzia",-19.8130786342358,-43.8008425002461,"real","Orizon","Santa Luzia","MG","https://orizonvr.com.br/ecoparques/"
"14","Orizon - Ecoparque Goiania",-16.6868340766604,-49.2705192143168,"aprox","Orizon","Aparecida de Goiânia","GO","https://orizonvr.com.br/ecoparques/"
"15","Orizon - Ecoparque Porto Velho",-8.76228214973332,-63.8937350213456,"aprox","Orizon","Porto Velho","RO","https://orizonvr.com.br/ecoparques/"
"16","Orizon - Ecoparque Rodolfo Fernandes",-5.93046776450007,-38.1059564023776,"real","Orizon","Rodolfo Fernandes","RN","https://orizonvr.com.br/ecoparques/"
"17","Orizon - Ecoparque Juazeiro do Norte",-7.22405391433882,-39.3123944568377,"aprox","Orizon","Juazeiro do Norte","CE","https://orizonvr.com.br/ecoparques/"
"18","Ecoparque Pernamburco/PE",-7.71912927099653,-34.9408649726419,"real","Ecoparque Pernamburco","Pernamburco","PE","https://ecoparquepe.com.br/"
"19","Ecoparque Guará/SP",-20.428002796005,-47.825636933405,"aprox","Ambipar Group","Guará","SP","https://ambipar.com/ambipar-environment/waste-management-and-valorization-un/eco-parque/"
"20","Ecoparque Aracruz/ES",-19.8243545615904,-40.2683298252875,"aprox","Ambipar Group","Aracruz","ES","https://ambipar.com/ambipar-environment/waste-management-and-valorization-un/eco-parque/"
"21","Ecoparque São Mateus/ES",-18.7164983983997,-39.8548871088488,"aprox","Ambipar Group","São Mateus","ES","https://ambipar.com/ambipar-environment/waste-management-and-valorization-un/eco-parque/"
