EMPRESA,CNPJ,MUNICÍPIO,UF,MATÉRIA PRIMA,CAPACIDADE DE PRODUÇÃO (Nm³/dia),TIPO DE AUTORIZAÇÃO,PREVISÃO DE CONCLUSÃO DE OBRA,Lat,Long,Tipo_Localizacao,concluida,status,CATEGORIA MATÉRIA PRIMA,Empresa,Investimento,Materia_prima,Fonte 1,Fonte 2
AE H&T SPE LTDA.,48.596.379/0001-70,HARMONIA,RS,,11712.0,Construção de Nova Instalação,março/2026,-29.549225348157723,-51.42582477176011,aproximada,Obras em andamento,março/2026,NÃO INFORMADO,AE H&T SPE LTDA.,40000000.0,dejeto destinado por propriedades rurais,https://www.primeirahora.rs/web/noticias/24266/lanadas-oficialmente-as-obras-do-projeto-do-biodigestor,
AGRIC ADUBOS E GESTÃO DE RESÍDUOS INDUSTRIAIS E COMERCIAIS S.A.,28.260.261/0002-40,CAMPOS NOVOS,SC,resíduos orgânicos agroindustriais,31440.0,Construção de Nova Instalação,Aguardando atualização do cronograma.,-27.141645677352027,-51.36301853829788,aproximada,Obras em andamento,Aguardando cronograma,RESÍDUOS ORGÂNICOS AGROINDUSTRIAIS,AGRIC ADUBOS E GESTÃO DE RESÍDUOS INDUSTRIAIS E COMERCIAIS S.A.,80000000.0,,https://opresenterural.com.br/santa-catarina-tera-sua-primeira-usina-de-grande-porte-de-biometano-em-2025/,https://www.nsctotal.com.br/noticias/primeira-usina-de-biometano-de-sc-pode-ser-pontape-inicial-para-corredor-verde
ATVOS BIOMETANO SANTA LUZIA S.A.,58.343.763/0001-15,NOVA ALVORADA DO SUL,MS,agrossilvopastoris,110101.0,Construção de Nova Instalação,dezembro/2026,-21.5934962595691,-54.253211731264,real,Obras em andamento,dezembro/2026,PRODUTOS E RESÍDUOS ORGÂNICOS AGROSSILVOPASTORIS E COMERCIAIS,ATVOS BIOMETANO SANTA LUZIA S.A.,350000000.0,Vinhaça e torta de filtro,https://atvos.com/atvos-anuncia-assinatura-de-memorando-de-investimentos-para-construcao-de-fabrica-de-biometano/,
BIOMETANO SÃO LEOPOLDO S.A.,53.291.355/0001-43,SÃO LEOPOLDO,RS,biogás de aterro sanitário,36744.0,Construção de Nova Instalação,junho/2026,-29.73770638724525,-51.205106720686835,real,Obras em andamento,junho/2026,RESÍDUOS SÓLIDOS URBANOS DEPOSITADOS EM ATERRO SANITÁRIO,BIOMETANO SÃO LEOPOLDO S.A.,100000000.0,Resíduos Sólidos Urbanos,"https://crvr.com.br/crvr-anuncia-nova-planta-de-biometano-em-sao-leopoldo/#:~:text=A%20CRVR%2C%20l%C3%ADder%20ga%C3%BAcha%20em,participa%C3%A7%C3%A3o%20do%20governador%20Eduardo%20Leite.",
BIOMETANO VERDE PAULÍNIA S.A.,50.365.355/0001-52,PAULÍNIA,SP,biogás de aterro sanitário,225840.0,Construção de Nova Instalação,dezembro/2025,-22.774316821606714,-47.20425008650815,real,Obras em andamento,dezembro/2025,RESÍDUOS SÓLIDOS URBANOS DEPOSITADOS EM ATERRO SANITÁRIO,BIOMETANO VERDE PAULÍNIA S.A.,450000000.0,,https://www.investe.sp.gov.br/noticia/compass-e-orizon-se-unem-para-produzir-biometano-em-paulinia/,
CH4 ENERGIA S.A.,54.667.956/0001-70,SABARÁ,MG,biogás de aterro sanitário,72000.0,Construção de Nova Instalação,junho/2026,-19.868863320483573,-43.89367017207852,aproximada,Obras em andamento,junho/2026,RESÍDUOS SÓLIDOS URBANOS DEPOSITADOS EM ATERRO SANITÁRIO,CH4 ENERGIA S.A.,,,,
COCAL ENERGIA PPT PARTICIPAÇÕES LTDA.,44.191.268/0001-23,PARAGUAÇU PAULISTA,SP,resíduos gerados no processo produção de açúcar e etanol,54000.0,Construção de Nova Instalação,Obras concluídas. Processo de autorização em andamento.,-22.476476692411538,-50.790147489005236,aproximada,Obras concluídas,Obras concluídas,RESÍDUOS ORGÂNICOS AGROINDUSTRIAIS,COCAL ENERGIA PPT PARTICIPAÇÕES LTDA.,200000000.0,,https://agenciadenoticias.bndes.gov.br/detalhe/noticia/Usina-de-biometano-do-3-maior-aterro-sanitario-do-mundo-tem-apoio-do-BNDES/,
ECO GEO BIOGÁS LTDA.,61.748.423/0001-89,GUAPÓ,GO,resíduos indústriais alimentícios e frigorificos,29900.0,Construção de Nova Instalação,outubro/2027,-16.87306684660409,-49.45284635860082,aproximada,Obras em andamento,outubro/2027,NÃO INFORMADO,ECO GEO BIOGÁS LTDA.,,,,
FOLHITO LTDA,00.234.266/0001-07,ESTRELA,RS,produtos e resíduos orgânicos agrossilvopastoris e comerciais,10000.0,Construção de Nova Instalação,Obras concluídas. Processo de autorização em andamento.,-29.55488890829181,-51.94911487116395,real,Obras concluídas,Obras concluídas,PRODUTOS E RESÍDUOS ORGÂNICOS AGROSSILVOPASTORIS E COMERCIAIS,FOLHITO LTDA,100000000.0,,https://cicvaledotaquari.com.br/usina-vai-produzir-gas-natural-e-adubo-em-estrela-a-partir-de-residuos/,
GA ENERGIA S.A.,54.667.921/0001-31,SABARÁ,MG,biogás de aterro sanitário,36000.0,Construção de Nova Instalação,agosto/2026,-19.85292780777474,-43.84595255142892,aproximada,Obras em andamento,agosto/2026,RESÍDUOS SÓLIDOS URBANOS DEPOSITADOS EM ATERRO SANITÁRIO,GA ENERGIA S.A.,152000000.0,Resíduos Sólidos Urbanos,https://www.asja.energy/wp-content/uploads/2023/09/230912_CS_Grupo-Asja-apresenta-ao-Governo-de-Minas-projeto-de-usina-de-biometano-em-Sabara.pdf,
